Frame, Time to process, Training Descriptors, Query Descriptors, Matches, Min Distance
1, 0.16781, 3190, 597, 3190, 40.73082
2, 0.19093, 3190, 584, 3190, 41.34005
3, 0.16085, 3190, 613, 3190, 62.46599
4, 0.14712, 3190, 570, 3190, 52.43091
5, 0.15358, 3190, 594, 3190, 49.63869
6, 0.15194, 3190, 609, 3190, 35.09986
7, 0.14861, 3190, 620, 3190, 51.32251
8, 0.15493, 3190, 578, 3190, 50.98039
9, 0.14819, 3190, 594, 3190, 46.76537
10, 0.14721, 3190, 580, 3190, 41.04875
11, 0.14447, 3190, 563, 3190, 49.27474
12, 0.14626, 3190, 558, 3190, 42.43819
13, 0.15515, 3190, 580, 3190, 45.66180
14, 0.15906, 3190, 590, 3190, 51.12729
15, 0.15491, 3190, 588, 3190, 51.78803
16, 0.15284, 3190, 574, 3190, 47.87484
17, 0.15312, 3190, 583, 3190, 50.73460
18, 0.14870, 3190, 574, 3190, 56.11595
19, 0.14656, 3190, 578, 3190, 45.13314
20, 0.14953, 3190, 599, 3190, 51.79768
21, 0.15418, 3190, 573, 3190, 39.35734
22, 0.15106, 3190, 574, 3190, 46.51881
23, 0.14716, 3190, 564, 3190, 38.01316
24, 0.15407, 3190, 609, 3190, 45.91296
25, 0.14949, 3190, 601, 3190, 51.45872
26, 0.15475, 3190, 624, 3190, 50.39841
27, 0.15450, 3190, 599, 3190, 48.91830
28, 0.14994, 3190, 587, 3190, 42.33202
29, 0.16399, 3190, 593, 3190, 48.51804
30, 0.14550, 3190, 565, 3190, 44.46347
31, 0.15651, 3190, 600, 3190, 44.84417
32, 0.15092, 3190, 581, 3190, 51.26402
33, 0.15284, 3190, 599, 3190, 44.38468
34, 0.14593, 3190, 555, 3190, 56.88585
35, 0.14530, 3190, 577, 3190, 50.48762
36, 0.16735, 3190, 587, 3190, 42.46175
37, 0.15844, 3190, 614, 3190, 48.53864
38, 0.14850, 3190, 575, 3190, 50.44799
39, 0.16642, 3190, 616, 3190, 42.26109
40, 0.14520, 3190, 593, 3190, 54.70832
41, 0.15044, 3190, 599, 3190, 48.88763
42, 0.15459, 3190, 603, 3190, 50.02000
43, 0.14951, 3190, 593, 3190, 56.19609
44, 0.16613, 3190, 585, 3190, 51.09795
45, 0.15148, 3190, 621, 3190, 45.49725
46, 0.15784, 3190, 619, 3190, 41.32796
47, 0.14460, 3190, 605, 3190, 44.12482
48, 0.14687, 3190, 581, 3190, 49.74937
49, 0.15594, 3190, 631, 3190, 43.56604
50, 0.15727, 3190, 575, 3190, 56.09813
51, 0.15214, 3190, 577, 3190, 43.77214
52, 0.15695, 3190, 594, 3190, 41.24318
53, 0.15526, 3190, 607, 3190, 42.91853
54, 0.15725, 3190, 609, 3190, 49.28489
55, 0.14775, 3190, 611, 3190, 37.92097
56, 0.15027, 3190, 579, 3190, 58.07753
57, 0.15067, 3190, 615, 3190, 49.78956
58, 0.15146, 3190, 618, 3190, 41.25530
59, 0.14487, 3190, 599, 3190, 45.86938
60, 0.15277, 3190, 614, 3190, 45.46427
61, 0.15704, 3190, 564, 3190, 46.92547
62, 0.15906, 3190, 563, 3190, 50.24938
63, 0.14780, 3190, 527, 3190, 64.63745
64, 0.14659, 3190, 528, 3190, 45.51923
65, 0.14274, 3190, 501, 3190, 73.56630
66, 0.14399, 3190, 466, 3190, 55.58777
67, 0.14042, 3190, 499, 3190, 70.75309
68, 0.14426, 3190, 497, 3190, 75.99342
69, 0.15403, 3190, 478, 3190, 81.48620
70, 0.14366, 3190, 472, 3190, 55.72253
71, 0.16237, 3190, 491, 3190, 74.69939
72, 0.15571, 3190, 511, 3190, 66.82814
73, 0.15047, 3190, 524, 3190, 50.73460
74, 0.15324, 3190, 496, 3190, 57.17517
75, 0.15323, 3190, 502, 3190, 65.02307
76, 0.14538, 3190, 464, 3190, 64.74566
77, 0.14831, 3190, 535, 3190, 83.29465
78, 0.14663, 3190, 560, 3190, 60.66300
79, 0.15024, 3190, 558, 3190, 73.58669
80, 0.15016, 3190, 626, 3190, 42.39104
81, 0.15780, 3190, 648, 3190, 54.58937
82, 0.15964, 3190, 661, 3190, 52.97169
83, 0.15738, 3190, 638, 3190, 40.57093
84, 0.15757, 3190, 637, 3190, 39.12799
85, 0.15346, 3190, 621, 3190, 41.48494
86, 0.15806, 3190, 621, 3190, 36.72874
87, 0.18000, 3190, 624, 3190, 40.68169
88, 0.17155, 3190, 626, 3190, 46.74398
89, 0.18251, 3190, 619, 3190, 40.19950
90, 0.15816, 3190, 641, 3190, 44.20407
91, 0.15557, 3190, 614, 3190, 36.42801
92, 0.15868, 3190, 634, 3190, 38.14446
93, 0.16262, 3190, 589, 3190, 36.98648
94, 0.15323, 3190, 643, 3190, 39.72405
95, 0.16820, 3190, 631, 3190, 52.65928
96, 0.16951, 3190, 618, 3190, 49.65884
97, 0.15946, 3190, 595, 3190, 39.19184
98, 0.15347, 3190, 584, 3190, 40.69398
99, 0.15916, 3190, 618, 3190, 39.86226
100, 0.17906, 3190, 604, 3190, 47.61302
